NoteType,UNIQUE_ID,Name,created_user,created_date,last_edited_user,last_edited_date
0,MSC2025A1,Abernethy,NTW148,8/19/2025 18:19:29,NTW148,8/28/2025 15:18:05
0,MSC2025A2,Archerwill,NTW148,8/19/2025 18:20:47,NTW148,8/28/2025 15:19:28
0,MSC2025A3,Balcarres,NTW148,8/19/2025 18:21:02,NTW148,8/28/2025 15:19:57
0,MSC2025A4,Baljennie,NTW148,8/19/2025 18:23:15,NTW148,8/27/2025 22:01:59
0,MSC2025A6,Batoche,NTW148,8/19/2025 20:43:49,NTW148,8/27/2025 22:01:59
0,MSC2025A7,Battleford,NTW148,8/19/2025 20:46:39,NTW148,8/28/2025 15:31:31
0,MSC2025A8,Big River,NTW148,8/19/2025 20:47:22,NTW148,8/28/2025 15:23:41
0,MSC2025A9,Birch Hills,NTW148,8/19/2025 20:48:24,NTW148,8/27/2025 22:01:59
0,MSC2025A10,Bresaylor,NTW148,8/19/2025 20:48:56,NTW148,8/28/2025 15:31:51
0,MSC2025A11,Cando,NTW148,8/19/2025 20:49:19,NTW148,8/27/2025 22:01:59
0,MSC2025A14,Chitek Lake,NTW148,8/19/2025 20:50:35,NTW148,8/28/2025 15:32:15
0,MSC2025A23,Duck Lake,NTW148,8/19/2025 20:51:34,NTW148,8/28/2025 15:27:09
0,MSC2025A25,Estevan,NTW148,8/19/2025 20:53:10,NTW148,8/28/2025 15:27:47
0,MSC2025A26,Fish Creek,NTW148,8/19/2025 20:53:40,NTW148,8/28/2025 15:32:18
0,MSC2025A34,Fort Qu'Appelle,NTW148,8/19/2025 20:54:02,NTW148,8/28/2025 15:29:30
0,MSC2025A38,Glen Mary,NTW148,8/19/2025 20:55:31,NTW148,8/27/2025 22:01:59
0,MSC2025A40,Green Lake,NTW148,8/19/2025 20:56:06,NTW148,8/28/2025 15:29:40
0,MSC2025A43,Halcro,NTW148,8/19/2025 20:56:33,NTW148,8/27/2025 22:01:59
0,MSC2025A44,Jackfish Lake,NTW148,8/19/2025 20:58:07,NTW148,8/28/2025 15:31:07
0,MSC2025A47,Lac Pelletier,NTW148,8/19/2025 20:58:41,NTW148,8/27/2025 22:01:59
0,MSC2025A50,Last Mountain Lake,NTW148,8/19/2025 20:59:03,NTW148,8/27/2025 22:01:59
0,MSC2025A51,Lebret,NTW148,8/19/2025 20:59:27,NTW148,8/28/2025 15:38:31
0,MSC2025A56,Lestock,NTW148,8/19/2025 21:00:56,NTW148,8/28/2025 15:38:49
0,MSC2025A57,Meadow Lake,NTW148,8/19/2025 21:02:01,NTW148,8/28/2025 15:41:20
0,MSC2025A58,Mont Nebo,NTW148,8/19/2025 21:02:43,NTW148,8/28/2025 15:41:36
0,MSC2025A60,Moose Jaw,NTW148,8/19/2025 21:03:04,NTW148,8/28/2025 15:41:59
0,MSC2025A62,Muskeg Lake,NTW148,8/19/2025 21:05:19,NTW148,8/27/2025 22:01:59
0,MSC2025A68,Prince Albert,NTW148,8/19/2025 21:08:01,NTW148,8/28/2025 15:57:47
0,MSC2025A70,Regina,NTW148,8/19/2025 21:08:35,NTW148,8/28/2025 15:58:12
0,MSC2025A73,Round Prairie,NTW148,8/19/2025 21:09:50,NTW148,8/27/2025 22:01:59
0,MSC2025A77,Saskatoon,NTW148,8/19/2025 21:10:05,NTW148,8/28/2025 15:59:56
0,MSC2025A78,St. Laurent de Grandin,NTW148,8/19/2025 21:11:59,NTW148,8/27/2025 22:01:59
0,MSC2025A74,Saint Louis de Langevin,NTW148,8/19/2025 21:12:18,NTW148,8/28/2025 15:59:27
0,MSC2025A79,Ste. Delphine,NTW148,8/19/2025 21:12:36,NTW148,8/28/2025 16:01:39
0,MSC2025A80,Swift Current,NTW148,8/19/2025 21:13:01,NTW148,8/28/2025 16:02:26
0,MSC2025A84,Welwyn,NTW148,8/19/2025 21:13:48,NTW148,8/28/2025 16:03:14
0,MSC2025A85,Willow Bunch,NTW148,8/19/2025 21:14:19,NTW148,8/27/2025 22:01:59
0,MSC2025A83,Val Marie,NTW148,8/19/2025 21:28:08,NTW148,8/28/2025 16:02:40
0,MSC2025A45,Katepwa Lake,NTW148,8/27/2025 21:51:54,NTW148,8/28/2025 15:35:10
0,MSC2025A67,Pratt's Lake,NTW148,8/27/2025 21:54:45,NTW148,8/27/2025 22:01:59
0,MSC2025A75,Saskatchewan Landing,NTW148,8/27/2025 21:56:01,NTW148,8/27/2025 22:01:59
0,MSC2025A82,Touchwood,NTW148,8/27/2025 21:56:53,NTW148,8/27/2025 22:01:59
