hub,hub_dist_to_surrender,hub_railway,n_corridor_satellites,n_borealis,n_fallback,avg_sat_dist_surrender,min_sat_dist_surrender,satellite_sample
"Balcarres, VL",23253.0,CPR,15,12,3,15182.606666666667,5900.5,"Melville, T-V, Dubuc, VL, Duff, VL, Grayson, VL, Killaly, VL, Stockholm, VL"
"Regina, C",21517.5,CPR,12,12,0,14265.591666666667,5900.5,"Balgonie, T-V, Indian Head, T-V, Lumsden, T-V, B— Say— Tah, VL, Craven, VL, Edenwold, VL"
"Semans, VL",16090.3,GTPR,8,8,0,10625.35,0.0,"Ituna, VL, Jasmin, VL, Kelliher, VL, Lestock, VL, Punnichy, VL, Quinton, VL"
"Grenfell, T-V",6483.3,CPR,6,4,2,15399.5,1240.7,"Broadview, T-V, Grayson, VL, Killaly, VL, Summerberry, VL, Indian Head, T-V, Sintaluta, T-V"
"Indian Head, T-V",22364.0,CPR,6,6,0,18714.75,16437.7,"Summerberry, VL, Balgonie, T-V, Sintaluta, T-V, McLean, VL, North Regina, VL, Pilot Butte, VL"
"Melville, T-V",19350.2,GTPR,6,6,0,13644.333333333334,4902.1,"Birmingham, VL, Duff, VL, Fenwood, VL, Goodeve, VL, Hubbard, VL, Ituna, VL"
"Qu'Appelle, T-V",13027.3,CPR,6,5,1,19567.583333333332,16437.7,"Balgonie, T-V, Indian Head, T-V, Sintaluta, T-V, McLean, VL, North Regina, VL, Pilot Butte, VL"
"Kamsack, T-V",0.0,CNoR,5,2,3,11339.26,2356.8,"Canora, T-V, Arran, VL, Pelley, VL, Togo, VL, Veregin, VL"
"Lumsden, T-V",16572.8,QLSRSC,4,4,0,16770.125,14023.3,"Bethune, VL, Craven, VL, Disley, VL, North Regina, VL"
"Shellbrook, VL",24731.4,CNoR,4,4,0,6242.25,0.0,"Blaine Lake, VL, Leask, VL, Marcelin, VL, Parkside, VL"
"Fort Qu'Appelle, VL",8216.4,GTPR,4,4,0,12224.6,5900.5,"B— Say— Tah, VL, Edenwold, VL, Lebret, VL, North Regina, VL"
"Wolseley, T-V",14394.8,CPR,3,3,0,19633.5,17247.0,"Summerberry, VL, Indian Head, T-V, Sintaluta, T-V"
"Canora, T-V",16443.5,CNoR,3,1,2,12528.966666666667,7535.1,"Stenen, VL, Veregin, VL, Margo, VL"
"Prince Albert, C",17430.7,QLSRSC,2,2,0,20987.95,17244.5,"Rosthern, T-V, Shellbrook, VL"
"Yorkton, T-V",15519.6,Other,2,2,0,17835.5,16320.8,"Melville, T-V, Saltcoats, T-V"
"North Battleford, C",9009.9,CNoR,1,0,1,0.0,0.0,"Delmas, VL"
"Foam Lake, VL",24221.2,CNoR,1,0,1,16478.6,16478.6,"Margo, VL"
"Duck Lake, T-V",10726.2,QLSRSC,1,1,0,17244.5,17244.5,"Rosthern, T-V"
"Broadview, T-V",1240.7,CPR,1,0,1,17247.0,17247.0,"Summerberry, VL"
"Whitewood, T-V",6424.3,CPR,1,1,0,1240.7,1240.7,"Broadview, T-V"
"Battleford, T-V",10264.3,CNoR,1,0,1,0.0,0.0,"Delmas, VL"
"Arcola, T-V",15960.9,CPR,1,1,0,11112.9,11112.9,"Forget, VL"
